factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factory_location_in_city,factory_location_in_town,year_of_establishment,factory_status
"Le Nouveautex (Pvt) Ltd.",Knit,5,242,112,250000,"Ladies Wears ,Children Wears ,T-Shirts/Polo Shirts","Board Bazar, Gazipur, Tongi",Gazipur,Tongi,1995,Clean
"Le-Nouveautex Knit Fashion",Knit,5,350,220,100000,"T-Shirts ,Polo Shirts ,Tank Tops","Vannara Road, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2008,Clean
"Leading Fashion Ltd.",Woven,5,365,165,40000,"Shirts ,Jackets ,Pants","68/4, Sagarika Road, Chittagong, Pahartali",Chittagong,Pahartoli,1998,Clean
"Leaf Grade Casualwear Ltd.",Woven,5,470,280,120000,"Ladies Long Pant ,Short ,Skirt ,Jacket","Kewa (Madrasa Road), Sreepur, Gazipur-1740, Gazipur, Gazipur",Gazipur,Gazipur,2016,Clean
"Leather Craftsman Ltd.",Woven,5,320,265,65000,"Shirts ,Jackets ,Pants","House # 67, Road # 3, Block - D, Ward # 3, Kamarpara, Dhaka, Turag",Dhaka,Turag,2012,Clean
"Lebaz Sweater Inds. Ltd.",Sweater,5,370,235,72000,"Sweaters ,Pullovers ,Jersey","Ovizatrra # 95, Mondol Market, Boro Dewra, Gazipur, Gazipur",Gazipur,Gazipur,2011,Clean
"Leeu Fashion Ltd.",Sweater,5,790,255,255000,Sweater,"Meharabari, Hazir Bazar, Mymensingh, Valuka",Mymensingh,Valuka,2015,Clean
"Legacy Fashion Ltd.",Woven,5,2500,1200,400000,"Shirts ,Blouses ,Dresses","BSCIC Industrial Estate, Chittagong, Kalurghat",Chittagong,Kalurghat,2006,Clean
"Legend Textiles Limited",Knit,5,100,100,120000,"Shirts ,T-Shirts ,Polo Shirts","Plot # 3-5, Sector # 3, Karnaphuli EPZ, Chittagong, North Patenga",Chittagong,"North Patenga",2012,Clean
"Lemond Apparels & Textiles Ltd.",Knit,5,381,110,350000,"T-Shirts ,Boxer ,Panties","East Madarbari, 545, Majirghat Road, Chittagong, Doublemooring",Chittagong,"Double Mooring",2005,Clean
"Lemond Fashion Ltd.",Knit,5,352,100,300000,"Shirts ,T-Shirts ,Panties ,Boxers","545, East Madarbari, Chittagong, Majhirghat Road",Chittagong,"Majhirghat Road",1994,Clean
"Lenient Fashion Ltd.",Woven,1,3,202,75000,"Shirt ,Pant ,Jacket ,T-Shirt","13402 & 14417, Satarkul Road, Satarkul, Badda, Dhaka, Dhaka",Dhaka,Dhaka,2019,Clean
"Les Pulls D' Alex Ltd.",Sweater,5,625,474,80000,Sweaters,"Khilkhet Bazar, Dhaka, Airport Road",Dhaka,"Airport Road",2004,Clean
"Libas Knit Wear Ltd.",Knit,5,665,320,80000,"T-Shirts ,Polo Shirts","Kewa, Boherarchala, Gila Beraeed, Gazipur, Sreepur",Gazipur,Sreepur,2010,Clean
"Libas Stitch",Woven,5,400,130,100000,"Shirts ,Pants","Plot & Holding #1, Turag Housing, Beribadh, Mohammadpur, Dhaka-1207, Dhaka, B. Baria",Dhaka,"B. Baria",2014,Clean
"Libas Textiles Ltd.",Knit,5,3500,1100,1250000,"T-Shirts ,Polo Shirts","Nischintopur, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2015,Clean
"Liberty Fashion Wears Ltd.",Knit,5,3000,1040,500000,"Jackets ,Trousers ,T-Shirts ,Shorts","Plot # 101, Mousa-Tenguri, Zirani Bazar, Dhaka, Savar",Dhaka,Savar,2001,Clean
"Liberty Garments Inds. Ltd.",Woven,5,575,200,150000,"Jackets ,Trousers ,Shorts","Plot #9, Block # D, Section # 2, Road # 3, Dhaka, Mirpur",Dhaka,Mirpur,1985,Clean
"Liberty Knitwear Ltd.",Knit,5,345,115,0,"Knit Items","Pamarbagh, Kutubpur, Narayanganj, B. Baria",Narayanganj,"B. Baria",2001,Anomaly
"Life Textile (Pvt.) Ltd.",Woven,5,0,20,0,,"69,70,71 BSCIC Industrial Esate, Gazipur, Konabari",Gazipur,Konabari,1997,Anomaly
"Lifestyle Fashion Maker Ltd.",Woven,5,550,320,125000,"Shirts ,Jackets ,Jogging Suits ,Pants","Lutfon Tower (8th & 9th Floor), Plot # E/13, Middle Badda, Dhaka, Badda",Dhaka,Badda,2007,Clean
"Lilac Fashion Wear Ltd.",Knit,5,450,322,416000,"Shirts ,Pants ,T-Shirts","Ganak Bari, ashulia, Dhaka, Savar",Dhaka,Savar,2013,Clean
"Lily Apparels Ltd.",Woven,5,525,156,100000,"Shirts ,Blouses ,Children Wears","Kathgora, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,1984,Clean
"Lily Jeans Ltd.",Woven,1,250,150,120000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","840/838, D.T. Road, Dhanalapara, Double Mooring, Chattogram, Chittagong",Chittagong,Chittagong,2022,Clean
"Link Wear Ltd.",Knit,5,650,280,300000,"Shirts ,Pants ,Dresses ,Shorts","687, CDA R/A, Road # 20, Alhaj Nurul Amin Sowdagar Lane, Chittagong, South Agrabad",Chittagong,"South Agrabad",1991,Clean
"Link-Tex Sportswear Ltd.",Knit,5,271,114,400000,"T-Shirts ,Polo Shirts","Nichintapur, Mouchak, Gazipur, Konabari",Gazipur,Konabari,2011,Clean
"Linkon Fashion Ltd.",Knit,5,220,120,80000,"Shirts ,Pants","Commercial Plot # 30, Main Road # 01,, Section # 10, Senpara Parbata, Dhaka, Mirpur-2",Dhaka,Mirpur-2,2014,Clean
"Lisha Tex Ltd.",Knit,5,90,60,78000,"Shirts ,Pants ,T-Shirts","KA-140/1, Shahara Bazar, Dhaka, Dhaka",Dhaka,Dhaka,2013,Clean
"Litun Fabrics Ltd.",Knit,5,190,154,200000,"Jackets ,Pants ,T-Shirts ,Trousers","Barpa, Narayanganj, Rupganj",Narayanganj,Rupganj,2007,Clean
"Liz Apparels Ltd.",Woven,5,1110,1000,100000,"Shirts ,Pants ,Trousers ,Shorts","Kunia, K.B. Bazar, Targas, Gazipur, Board Bazar",Gazipur,"Board Bazar",2002,Clean
"LM Masinara Asia Ltd.",Knit,5,1296,1004,312000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Plot # 1-2, Sector # 03,, KEPZ, Chittagong, North Patenga",Chittagong,"North Patenga",2014,Clean
"Lodestar Fashions Ltd.",Woven,5,2500,1043,500000,"Shirts ,Blouses ,Pants","M-16, Section # 14, Dhaka, Mirpur",Dhaka,Mirpur,1995,Clean
"Lodestar Garments Ltd.",Woven,5,450,300,100000,"Jackets ,Pants ,Skirts ,Trousers","C-35, Section # 7, Purobi Super Market, Dhaka, Mirpur",Dhaka,Mirpur,1985,Clean
"Logos Apparels Ltd.",Knit,5,1126,423,500000,"T-Shirts ,Trousers ,Kids Item ,Ladies Vests","Telir Chala Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,1998,Clean
"Louietex Manufacturing Ltd.",Woven,5,670,286,156000,"Twill Pants ,Twill Shorts ,Cargo Shorts","Mouza- Sandha, Sharifpur, National University, Gazipur, National University",Gazipur,"National University",2012,Clean
"Lovecraft Garments (Pvt.) Ltd.",Woven,5,483,234,62000,"Shirts ,Pants","7 & 8, A. C. Roy Road, Armanitola, Dhaka, Old Dhaka",Dhaka,"Old Dhaka",1984,Clean
"Loyal Apparels Ltd.",Knit,5,840,714,800000,"Hipster ,Bikini ,Cami ,Briefs","434, Kulgaon, Baluchara, Jalalabad, Chittagong, Baizid",Chittagong,"Bayzid Bostami",2012,Clean
"Loyaltex Limited",Knit,5,647,300,800000,"Hipster ,Bikini ,Thong","434, Kulgaon, Baluchara, Jalalabad, Chittagong, Baizid",Chittagong,"Bayzid Bostami",2012,Clean
"Lucid Apparels Ltd.",Woven,5,204,170,22500,"Jackets ,Pants ,Trousers ,Vests","13, D.I.T Road, Khilgaon Chowdhury Para, Dhaka, Khilgaon",Dhaka,Khilgaon,1994,Clean
"Lucky Star Apparels Ltd.",Woven,5,495,275,55000,"Wind Breakers ,Swim Shorts ,Bottoms","141/142, Lalasarat, 234/4, Kachukhet, Dhaka, Cantonment",Dhaka,Cantonment,1992,Clean
"Lufa Fashion Ltd.",Woven,5,320,204,30000,"Swimming Shorts ,Paded Jackets ,Overalls","16/1kH, New jurain, Buriganga Shetu Market (3rd Floor), Dhaka, Jurain",Dhaka,Jurain,1995,Clean
"Lufa Garments Ltd.",Woven,5,351,212,25000,"Jackets ,Pants ,Vests ,Trousers","476/B, D.I.T Road, Dhaka, Malibagh",Dhaka,Malibagh,1992,Clean
"Luman Dresses Limited",Woven,5,376,177,23500,"Jackets ,Pants ,Trousers ,Vests","476-B, D.I.T Road, Dhaka, Malibagh",Dhaka,Malibagh,1996,Clean
"Luman Fashions Ltd.",Woven,5,700,420,37500,"Jackets ,Pants ,Trousers ,Vests","476-B, D.I.T Road, Dhaka, Malibagh",Dhaka,Malibagh,2000,Clean
"Lumbini Limited",Sweater,5,456,750,60000,"Sweaters ,Pullovers ,Cardigans","Bandarban Zilla Parishad Complex, Bandarban, Meghla",Bandarban,Meghla,2011,Clean
"Luminous Garments Limited",Woven,1,5,120,0,"Shirt ,Pant ,T-Shirt ,Polo Shirt","45/4, East Kadamtoly, Meraj Nagar, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2022,Anomaly
"Luna Apparels (Pvt.) Ltd.",Woven,5,500,200,60000,"Jackets ,Shorts","322/1/2, North Goran, Dhaka, Sabujbagh",Dhaka,Sabujbagh,1994,Clean
"Lusaka Fashion Ltd.",Woven,5,400,120,120000,"Shirts ,Blouses","261, Ibrahimpur (6th Floor), Dhaka, Cantonment",Dhaka,Cantonment,1995,Clean
"Luthan Sweater Ltd.",Sweater,5,468,160,28000,Sweaters,"Dhour, Gazipur, Turag",Gazipur,Turag,2009,Clean
"Lyceum Fabrics Ltd.",Knit,5,450,245,180000,"T-Shirts ,Polo Shirts ,Panties ,Boxers","Plot # 6207, East Halishahar, Ali Plaza (4th Floor), Chittagong, Bandar",Chittagong,Bandar,1998,Clean
"Lynda Fashions Ltd.",Woven,5,485,317,120000,"Long Pants ,Cargo Pants ,Trousers ,Bermuda","Shamir Plaza Shopping Complex (5th Floor), Jamgara, Ashulia, Dhaka, Savar",Dhaka,Savar,2005,Clean
"Lyric Apparels Ltd.",Woven,5,1050,350,130000,"Winsbreakers ,Pants ,Jogging Suits ,Shorts","Mirzapur Bhaban (5th to 7th Floor), 69/B-1, Malibagh Chowdhury Para, Dhaka, Malibagh",Dhaka,Malibagh,2002,Clean
"Lyric Industries (Pvt) Ltd.",Woven,5,1060,350,130000,"Jackets ,Shorts ,Jogging Suits ,Windbreakers","464, West Rampura, Mollah Tower (7th-8th Floor), Dhaka, Rampura",Dhaka,Rampura,2001,Clean
"LZ Fashion Wear Ltd.",Woven,5,399,182,33333333,"Shirts ,Pants","Plot # 154, DEPZ (Extension),, Ganakbari, Dhaka, Savar",Dhaka,Savar,2014,Clean
"LZ Textiles Ltd.",Woven,5,250,79,25000,"Shirts ,Pants","Dewallia Bari, Gazipur, Konabari",Gazipur,Konabari,2015,Clean
"M & H Corporation (Pvt) Ltd.",Knit,5,415,180,120000,"T-Shirts ,Polo Shirts ,Sweat Shirts","Dag # 1415/5482, Dolipara, Sector # 3, Dhaka, Uttara",Dhaka,Uttara,1998,Clean
"M & M Dresses Ltd.",Woven,5,450,174,80000,"Shirts ,Boy's Shirts","964, Shewrapara, Begum Rokeya Sarani, Dhaka, Mirpur",Dhaka,Mirpur,1995,Clean
"M & M Shirts Ltd.",Woven,5,800,360,140000,"Shirts ,Ladies Shirts ,Boy's Shirts","964, Shewrapara, Rokeya Sarani, Dhaka, Mirpur",Dhaka,Mirpur,1996,Clean
"M & S Sweater Ltd.",Sweater,5,1010,590,50000,Sweaters,"68X (2), Fouzdarhat H/I Area, Chittagong, Pahartoli",Chittagong,Pahartoli,2008,Clean
"M & W Fashion Ltd.",Woven,5,312,118,6000000,"Shirts ,Pants ,Jacket","Plot # 37, Block # B, Milla Gate, Gazipur, Tongi",Gazipur,Tongi,2013,Clean
"M N Sweaters Ltd.",Sweater,5,1000,436,70000,"Sweaters ,Cardigans ,Pullovers","79-B, Malibagh Chowdhury Para, Dhaka, Malibagh",Dhaka,Malibagh,1993,Clean
"M-Nur Sweaters Ltd.",Sweater,5,350,520,60000,Sweater,"Kolomeshwar, Zhazur Road, Gazipur, National University",Gazipur,"National University",2014,Clean
"M U Fashion Ltd.",Woven,1,1500,1200,375000,"Shorts ,Trouser ,Jacket ,Skirt","South Salimpur, Jafarabad-4317, Fouzderhat I/A, Chattogram, Chittagong",Chittagong,Chittagong,2019,Clean
"M-Nur Sweaters Ltd.",Sweater,5,350,520,60000,Sweater,"Kolomeshwar, Zhazur Road, Gazipur, National University",Gazipur,"National University",2014,Clean
"M-Yew Fashion Ltd.",Woven,5,730,365,160000,"Long Pants ,Trousers ,Jackets ,Skirts","Haji Sahabuddin Shopping Complex(3rd & 4th), 15/6, Rasulbagh, Dhaka, Mohakhali",Dhaka,Mohakhali,1997,Clean
"M. I. Knitwear Ltd.",Sweater,5,600,517,85000,"Sweaters ,Pullovers ,Cardigans ,Vest","PM Centre, 215/216, Dewandighi, Chittagong, Dewanhat",Chittagong,Dewanhat,2004,Clean
"M.B. Knit Fashion",Knit,5,1000,430,750000,"T-Shirts ,Polo Shirts ,Sweat Shirts ,Tank Tops","A/122, BSCIC Inds. Estate, Narayanganj, Fatullah",Narayanganj,Fatullah,1997,Clean
"M.H. Fashion",Woven,5,133,88,60000,"Shirts ,Pants ,Trousers","79/8, North Jatrabari, Bibir Bagicha, 4 No. Gate, Dhaka, Jatrabari",Dhaka,Jatrabari,2012,Clean
"M.I.M. Dresses Ltd.",Woven,5,400,0,19000,"Top ,Bottom ,Jacket","East Haydabad, Majukhan, Road #39, (Kudabo Road), Block-A, Holding-RS 3362, Pubail, Gazipur, Gazipur",Gazipur,Gazipur,2004,Clean
"M.I.M. Fashion Wear Ltd.",Knit,5,10,550,700000,"T-Shirts ,Polo Shirts ,Tank Tops","Plot # 226/1, Tilargati, Shingbari Road, Tongi, Gazipur, Bangladesh., Gazipur, Gazipur",Gazipur,Gazipur,1998,Clean
"M.K. Sweaters Ltd.",Sweater,5,485,300,40000,"Sweaters ,Pullovers ,Cardigans","2013/A, Block # 3, South Salna, Salna Bazar, Gazipur, Joydevpur",Gazipur,Joydebpur,2003,Clean
"M.M. Brothers Wear Ltd.",Woven,5,300,120,37500,"Shirts ,Trousers ,Shorts","201/A, M.N. Plaza, Rampur, Eidgah, DIT Road, Chittagong, D.T. Road",Chittagong,"D.T. Road",2004,Clean
"M.M. Composite Knit Ltd.",Knit,5,400,150,125000,"T-Shirts ,Polo Shirts","C.S.-36, Teknogopara, Salna, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2007,Clean
"M.M. Dress Wear Ltd.",Knit,5,252,84,150000,"Shirta ,Pants ,T-Shirts ,Polo Shirts","Afaznagar, Narayanganj, Fatullah",Narayanganj,Fatullah,2016,Clean
"M.M. Fashions & Composite Ltd.",Knit,5,546,216,108000,"T-Shirts ,Polo Shirts ,Tank Tops","1180, Shahid Siddiqu Road, Khailkoir, Gazipur, Board Bazar",Gazipur,"Board Bazar",2009,Clean
"M.M. Knitwear Ltd.",Knit,5,3800,950,1196000,"T-Shirts ,Polo Shirts ,Jackets ,Tank Tops","Ambagh Road, Nilnagar, Gazipur, Konabari",Gazipur,Konabari,2001,Clean
"M.M. Trade Apparels",Knit,5,350,205,120000,"T-Shirts ,Polo Shirts ,Polar Fleece","Plot # 1342, Char Ramzan, Sanaullah, Narayanganj, Sonargaon",Narayanganj,Sonargaon,1995,Clean
"M.N. Clothing Ltd.",Woven,5,900,420,90000,"Shirts ,Dresses ,Shorts","516/590, Cornel Jones, Chittagong, Pahartoli",Chittagong,Pahartoli,2007,Clean
"M.N. Dyeing, Printing & Washing Mills Limited",Knit,1,2350,100,165000,"T-Shirt ,Polo Shirt","Baniarchala, Bhabanipur, Gazipur Sadar, Gazipur, Gazipur",Gazipur,Gazipur,2022,Clean
"M.N. Garments Ltd.",Woven,5,381,140,50000,"Shirts ,Dresses ,Trousers ,Shorts","754, Uttar Agrabad, D.T. Road, Chittagong, Monsurabad",Chittagong,Monsurabad,1984,Clean
"M.N. Knitwears Ltd.",Woven,5,725,290,70000,"Shirts ,Trousers ,Shorts ,Dresses","201/A, M.N. Plaza, Rampur, Eidgah, DT Road, Chittagong, Eidgah",Chittagong,Eidgah,1999,Clean
"M.P. Sweaters Ltd.",Sweater,5,650,874,160000,"Sweaters ,Jumpers ,Maflers ,Trouser","Kashimpur, Gazipur, Barenda",Gazipur,Barenda,2006,Clean
"M.R. Sweater Composite Ltd.",Sweater,5,409,400,0,Sweaters,"Hariharpara, Enayetnagar, Narayanganj, Dhaka",Narayanganj,Dhaka,2004,Anomaly
"M.R.M Apparel",Woven,1,1,120,100000,"Shirt ,Pant ,T-shirt ,Polo Shirt","68/xy, Fouzderhat Heavy I/A, Sagorika Road, Pahartoli, Chittagong, Chittagong",Chittagong,Chittagong,2023,Clean
"M.S. Dyeing Printing & Finishing Ltd.",Knit,5,2000,400,1800000,"T-Shirts ,Polo Shirts","Plot # B-237, B-252, B-260-273, BSCIC I/A, Enayetnagar, Narayanganj, Fatullah",Narayanganj,Fatullah,2014,Clean
"M.S. Wearing Apparels Ltd.",Knit,5,189,203,40000,"T-Shirts ,Trousers","74, Agrabad C/A, Chittagong","74, Agrabad C/A,",Chittagong,1996,Clean
"M.T. Sweaters Ltd.",Sweater,5,0,214,0,Pullovers,"Plot # 1703, Gacha, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2001,Anomaly
"M.T.S Fashion Club",Woven,1,1,69,77500,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Holding No # 146, Block # A, Road # 3, Siddirgonj, Narayanganj, Narayangonj",Narayanganj,Narayanganj,2023,Clean
"M2M (CEPZ) Limited",Knit,5,313,200,960000,"Jackets ,Trousers ,T-Shirts ,Polo Shirts","Plot # 8-9, Sector # 2/A, Chittagong, CEPZ",Chittagong,CEPZ,2011,Clean
"Maa Composite Ltd.",Knit,5,131,250,2028000,"T-Shirts ,Pants","Plot # 102-104, Adamjee Epz, Adamjeenagar, Narayanganj, Shiddirganj",Narayanganj,Shiddirganj,2013,Clean
"Maaa Apparels Ltd.",Sweater,5,525,450,37500,Sweater,"Plot # 1187, 1214-15, Gacha Road, Gacha Maddapara, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2016,Clean
"Mac-Tex Inds. Ltd.",Knit,5,415,163,55000,"Jackets ,Trousers ,T-Shirts ,Polo Shirts","DCC, 82 Ibrahimpur (2nd & 3rd Floor), Kafrul, Dhaka, Cantonment",Dhaka,Cantonment,2006,Clean
"MACK Shirts Ltd.",Woven,5,1500,463,218400,Shirts,"135-138, Abdullahpur (4th Fl), Dhaka, Uttara",Dhaka,Uttara,2012,Clean
"Macys Fashions Ltd.",Woven,5,300,179,0,"Shirts ,Trousers ,Infants Wear","Khilkhet Super Market (7th Floor), B-34/Ka, Khilkhet, Dhaka","Khilkhet Super Market (7th Floor), B-34/Ka, Khilkhet",Dhaka,1998,Anomaly
"Madany Fashion Wear Ltd.",Knit,5,264,144,193140,"t-Shirts ,Polo Shirts","Madany Super Market, Hemayetpur Bus Stand, Hemayetpur, Dhaka, Dhaka",Dhaka,Dhaka,2014,Clean
"Madaripur Garments Ltd.",Woven,1,200,180,10400,"Shirt ,Pant ,Jacket ,Trouser","East Baghbari, Word # 05, Kashimpur, Gazipur Sadar, Dhaka, Dhaka",Dhaka,Dhaka,2021,Clean
"Madina Establishments Ltd.",Woven,5,200,80,24000,"Shirts ,Jackets ,Pants","687, South Agrabad, Road # 20, Chittagong, CDA R/A",Chittagong,"CDA R/A",1994,Clean
"Madina Fashion & DESIGN",Woven,1,1,99,240000,"Shirt ,Pant ,Jacket ,trouser","144/1 Nababer Bag, Sahaali, Mirpur-1, Dhaka, Dhaka",Dhaka,Dhaka,2022,Clean
"Madina Garments Ltd.",Woven,5,100,156,50000,"Shirts ,Padded Jackets ,Pants","Word # 3, Noyahat, Paclaish, Chittagong, Baizid",Chittagong,"Bayzid Bostami",1984,Clean
"Madinaple Fashions Craft Ltd.",Sweater,5,1500,1200,140000,"Sweaters ,Pullovers","Ward # 7, Holding # E-44/1, Chandura, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2004,Clean
"Maggie & Liz Corporation (Pvt.) Ltd.",Knit,5,400,203,60000,"Trousers ,Pants ,Briefs ,T-Shirts","864, Noor Ahmad Road, Metropole Building (3rd Floor), Chittagong, Kotawali",Chittagong,Kotowali,1991,Clean
"Magpie Composite Textile Ltd.",Knit,5,1648,975,75840,"Gray Fabric ,Dyeing ,Garments","832/833, Dewan Edris Road, Amtala, Kathgara, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2007,Clean
"Magpie Knit Wear Ltd.",Sweater,5,1800,800,41666,"Knitting ,Linking ,Trimming Mending","141, Yarpur, Zirabo, Dhaka, Dhaka",Dhaka,Dhaka,2003,Clean
"Mahadi Fashion (Pvt) Ltd.",Woven,5,850,200,13000,"Shirts ,Pants","Bashugaon, Pubail, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2013,Clean
"Mahbub Knit Fashion Ltd.",Knit,5,130,42,90000,"Knit Items ,Shorts","476/A & B, DIT Road, Dhaka, Malibagh",Dhaka,Malibagh,2001,Clean
"Mahdeen Sweaters Ltd.",Sweater,5,4500,2300,300000,"Sweaters ,Pullovers ,Cardigans","Jamidia, Mymensingh, Valuka",Mymensingh,Valuka,2007,Clean
"Mahdi Knit Design Ltd.",Knit,5,210,127,200000,"T-Shirts ,Polo Shirts","Aminul Complex, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2014,Clean
"Mahee Intimates Ltd.",Woven,1,1712,0,0,,"EPZ Road, Zirabo, Ashulia, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2021,Anomaly
"Mahid Apparel Ltd.",Knit,5,711,390,75000,"Shirts ,Pants ,T-Shirt ,Polo-Shirt","Nowapara, Madhabdi, Narsingdi, Narinda",Narsingdi,Narinda,2013,Clean
"Mahid Expo Int'l Tex Ltd.",Knit,5,230,208,4000,"T-Shirts ,Polo Shirts","Nowpara, Narsingdi, Madhabdi",Narsingdi,Madhabdi,2014,Clean
"Mahin Apparels Ltd.",Woven,5,1125,612,292000,"Overalls ,Trousers ,Jackets","Plot # 4, Road # 7, Block - C, Section # 6, Dhaka, Mirpur",Dhaka,Mirpur,1992,Clean
"Mahmud Jeans Ltd.",Woven,5,0,173,266880,"Shirts ,Trousers","Hortokitala, Chandra, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2008,Clean
"Mahmuda Attires Ltd.",Woven,5,1000,1293,2000000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Balitha, Sutipara, Dhaka, Dhaka",Dhaka,Dhaka,2015,Clean
"Maisha Fashions",Knit,1,300,100,10000,"T-Shirt ,Polo Shirt","Gouripur, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2021,Clean
"Maisha Mim Apparels Ltd.",Woven,1,1000,500,700000,,"46/1, Boro Dewra, Badam Road, tongi West Thana, Gazipur, Gazipur",Gazipur,Gazipur,2021,Clean
"Majumder Apparels Ltd.",Woven,5,566,242,117000,"Shirts ,Ladies Shirts ,Infants Wear","Kunia (4th Floor), K.B. Bazar, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",1992,Clean
"Majumder Fashions Ltd.",Woven,5,520,317,150000,"Trousers ,Jeans ,Jackets","Mouza-Kunia, K.B. Bazar, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2006,Clean
"Majumder Garments Ltd.",Woven,5,791,400,182000,"Shirts ,Ladies Shirts ,Infant Wears","Majumder Center, 113/1, Mudafa, Pachimpara, Gazipur, Tongi",Gazipur,Tongi,1984,Clean
"Maks Fashion Ltd.",Knit,5,360,260,450000,"T-Shirts ,Panties ,Cami ,Bra","1, Kapashgola Road, Chawk Bazar, Chittagong, Panchlaish",Chittagong,Panchalaish,1990,Clean
"Mallick Fabrics Ltd.",Knit,5,675,443,935000,"t-Shirts ,Polo Shirts","246, Nayapara, Kashimpur, Gazipur, Konabari",Gazipur,Konabari,2015,Clean
"Mam Apparel & Textiles Ltd.",Knit,5,190,73,1030000,"Panties ,Briefs ,Boxers ,Shirts","Pranhoridas Road, Loharpool, Saraypara, Chittagong, Pahartali",Chittagong,Pahartoli,2006,Clean
"MAM Garments Ltd.",Woven,5,430,205,60000,"Shirts ,Pants ,Trousers ,Shorts","4, Tayabpur, Nichintapur,, Zirabo, Dhaka, Savar",Dhaka,Savar,1993,Clean
"Mam Knit Inds. Ltd.",Knit,5,325,125,150000,"T-Shirts ,Polo Shirts ,Shorts ,Tank Tops","102, Auch Para, Gazipur, Tongi",Gazipur,Tongi,2006,Clean
"Mamun Knitwear Ltd.",Knit,5,0,256,0,"Shirts ,Pants","Ambagh Road, Konabari, Gazipur, Nilanagar",Gazipur,Nilanagar,2013,Anomaly
"Manali Jeans Ltd.",Woven,5,240,159,65000,"Shirts ,Pants","Samsul Haque Tower, Kunia, Targas, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2016,Clean
"Manami Fashions Ltd.",Knit,5,418,200,300000,"T-Shirts ,Polo Shirts ,Hooded Sweat","Kabirpur, Ashulia, Savar, DHaka, Dhaka, Dhaka",Dhaka,Dhaka,2008,Clean
"Mane Clothing Ltd.",Woven,5,250,110,16000,"Shirts ,Pants","Kelia, Dhamrai-1350, Dhamrai, Dhaka, Dhaka",Dhaka,Dhaka,2015,Clean
"Manel Fashion Ltd.",Knit,5,218,160,625000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","CB-4/1, Siraj Market (3rd-5th Floor), Kachukhet, Dhaka, Cantonment",Dhaka,Cantonment,2014,Clean
"Mango Knit Composite Ltd.",Knit,5,410,158,100000,"T-Shirts ,Polo Shirts","2 No, Sujat Nagar, Sujat Plaza, Dhaka, Mirpur-12",Dhaka,Mirpur-12,2014,Clean
"Mango Tex",Knit,1,1,403,10000000,"T-Shirt ,Polo Shirt","Hossain Plaza-2, Tongabari, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2022,Clean
"Mans Attires Ltd.",Knit,5,300,130,300000,"T-Shirts ,Polo Shirts","A-87, BSCIC I/E, Narayanganj, Fatullah",Narayanganj,Fatullah,2014,Clean
"Mansheen Co. (BD) Limited.",Knit,5,567,235,96000,"Shorts ,Pajama Sets ,Polo Shirts ,Dusters","Cha-72/1/C, Progati Sarani, North Badda, Dhaka, Gulshan",Dhaka,Gulshan,1995,Clean
"Manta Apparels Ltd.",Knit,5,2400,1050,50000,"Shirts ,Jackets ,Trousers","Zamgara, Yearpur, Dhaka, Savar",Dhaka,Savar,2004,Clean
"Mantrust Fashion Ltd.",Woven,5,920,390,250000,"Shirts ,Blouses ,Pajama","20/1-A, Shataish (3rd Floor), Gazipur, Tongi",Gazipur,Tongi,1992,Clean
"Mantrust Sweater Ltd.",Sweater,5,1200,800,150000,"Ladies Sweaters ,Pullovers ,Cardigans","Mantrust Industrial Complex, Vogra, Gazipur, Chandana",Gazipur,Chandana,2000,Clean
"Manvill Styles Ltd.",Knit,5,885,330,180000,"Shirts ,T-Shirts ,Polo Shirts","728, South Shampur, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2010,Clean
