factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factory_location_in_city,factory_location_in_town,year_of_establishment,factory_status
"Dynasty Sweater (BD) Ltd.",Sweater,5,2269,2011,289584,"Sweaters ,Pullovers ,Cardigans","Aukpara, Ashulia, Dhaka, Savar",Dhaka,Savar,2004,Clean
"E-M.N.S. Fashions Ltd.",Woven,1,3,500,1250000,"Shirt ,Pant ,Jacket ,T-Shirt","1/1187, South Salna, Ward # 19, Gazipur City Corporation, Gazipur, Gazipur",Gazipur,Gazipur,2022,Clean
"E.H. Fabrics Ltd.",Woven,5,1600,615,220000,"Shirts ,Trousers ,Blouses","221-225, Sataish Road, Khortoli, Gazipur, Gazipura",Gazipur,Gazipura,2007,Clean
"Earl Fashion Ltd.",Sweater,5,500,350,75000,"Pullovers ,Jursey","Ojhar Para, National University, Gazipur, National University",Gazipur,"National University",2010,Clean
"Earthee Wear Ltd.",Knit,5,450,250,130000,"T-Shirts ,Polo Shirts ,Trousers ,Sweat Shirts","House # 1, Road # 9, Block - A, Section # 12, Dhaka, Mirpur",Dhaka,Mirpur,2006,Clean
"East West Dress Pant Ltd.",Woven,5,474,279,35100,"Jackets ,Shorts","Chaydana, Gazipur, K.B. Bazar",Gazipur,"K.B. Bazar",1994,Clean
"East West Fashion Garments Ltd.",Woven,5,483,304,35100,"Shorts ,Trousers ,Skirts","Chaydana, Gazipur, Gazipur",Gazipur,Gazipur,1985,Clean
"East West Services Ltd.",Woven,5,950,500,120000,"Shirts ,Pants ,Shorts ,Skirts","232-234, Tejgaon I/A, Dhaka, Tejgaon",Dhaka,Tejgaon,1992,Clean
"Eastern Apparels Ltd.",Knit,5,450,200,564000,"Babys Wears ,T-Shirts ,Long Pants","Noor Arcade (5th Floor), 9/A, Jubulee Road, Chittagong","Noor Arcade (5th Floor), 9/A, Jubulee Road",Chittagong,1991,Clean
"Eastern Dresses Ltd.",Knit,5,480,298,564000,"Babys Wears ,T-Shirts ,Long Pants","Auto Complex, 221, Dewanhat, Chittagong","Auto Complex, 221, Dewanhat",Chittagong,1995,Clean
"Eastern Knit Wear Ltd.",Woven,5,10000,500,255000,"Long Pants ,Short Pants ,Trousers","1670/2091, West Sholoshahar, Aturar Depot, Chittagong","1670/2091, West Sholoshahar, Aturar Depot",Chittagong,2000,Clean
"Eatern Garments",Knit,5,120,120,150000,"Shirts ,T-Shirts ,Polo Shirts","287, Alirmore, North Badda, Dhaka, North Badda",Dhaka,"North Badda",2011,Clean
"Echoknits Ltd.",Sweater,5,1000,826,90000,"Sweaters ,Pullovers ,Cardigans","A-99/1, UttorBoktarpur, Gazipur, B. Baria",Gazipur,"B. Baria",1993,Clean
"Echotex Ltd.",Knit,5,4332,2420,2000000,"Knit Tops ,Knit Bottoms","Chandra (Palli Buddut), Mouckak, Gazipur, B. Baria",Gazipur,"B. Baria",2008,Clean
"Eco Couture Ltd.",Knit,5,3327,952,580000,"T-Shirts ,Plo Shirts","447-450, N-105, Dhaka BI-PASS Road, Mogorkhal, P.O. National University, Gazipur, Joydebpur",Gazipur,Joydebpur,2013,Clean
"Eco Intimates Ltd.",Woven,1,200,592,125000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Baniarchala, Bhabanipur, Gazipur Sadar, Gazipur, Gazipur",Gazipur,Gazipur,2022,Clean
"Ecofab Ltd.",Woven,5,3327,1956,550000,Shirts,"148-149, N-105, Dhaka BI-Pass Road, Jogitala,, Brri,Gazipur Sadar, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2013,Clean
"Ecomax Limited",Sweater,5,280,130,25000,Sweaters,"Zakaria Mansion, South Kalmeshwar, National University, Gazipur, Board Bazar",Gazipur,"Board Bazar",2012,Clean
"ECTA Dhaka Ltd.",Woven,5,1927,950,2808000,"Caps ,Hats","Subondi (Natun Nagor), Ashulia, Dhaka, Savar",Dhaka,Savar,2012,Clean
"Eden Apparels Ltd.",Woven,5,600,300,60000,"Shirts ,Shorts ,Trousers ,Pants","Plot # Ka - 58, Joar Shahara Bazar, Dhaka, Catonment",Dhaka,Cantonment,1994,Clean
"Eden Fashions Ltd.",Woven,5,270,226,70000,"Jackets ,Swim Trunks ,Trousers ,Denim Items","1142, Askarabad, Mistri Para, Sk. Mujib Road, Chittagong, Chittagong",Chittagong,Chittagong,1998,Clean
"EFA Apparels Ltd.",Woven,5,350,170,50000,"Trousers ,Pants ,Cappri ,Shorts","Jahan Building No. 4 (5th floor), 76, Agrabad C/A, Chittagong","Jahan Building No. 4 (5th floor), 76, Agrabad C/A",Chittagong,1993,Clean
"EFE Textile Ltd.",Knit,5,332,300,58450,"Shirts ,Pants ,T-Shirts","Tonga Bari, Ashulia, Dhaka, Savar",Dhaka,Savar,2009,Clean
"Efte Knit Composite",Woven,1,3,242,250000,"Shirt ,Pant ,T-Shirt ,Trouser","171, Kuturia, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2023,Clean
"Ehsan Fashions Ltd.",Sweater,5,600,740,72000,"Sweaters ,Cardigans ,Jumpers ,Pullovers","B-40, BSCIC Inds Estate, Gazipur, Tongi",Gazipur,Tongi,2002,Clean
"Eian Apparels Ltd.",Woven,5,300,120,49400,"Shirts ,Pants ,Jackets ,Shorts","Jaks Shopping Complex, 316, Sk. Mujub Road, Chittagong","Jaks Shopping Complex, 316, Sk. Mujub Road",Chittagong,1999,Clean
"Ekram Sweaters Ltd.",Sweater,5,2500,3200,300000,"Cardigans ,Pullovers ,Dress ,Skirts","Kathali, Mymensingh, Valuka",Mymensingh,Valuka,2003,Clean
"Elahi Garments Ltd.",Woven,5,250,166,48000,"Shirts ,Pants","40, Agrabad C/A, Chittagong, Agrabad",Chittagong,Agrabad,1992,Clean
"Elaine Apparels Ltd.",Knit,5,290,90,150000,"Fleece Jackets ,Polo Shirts ,Ladies Items","Charabagh, Amtala, Ashulia, Dhaka, B. Baria",Dhaka,"B. Baria",1994,Clean
"Elate Fashion Ltd.",Woven,5,350,254,46800,"Jogging Sets ,Jackets ,Pants","A934/6-7, Khilgaon, Dhaka, Khilgaon",Dhaka,Khilgaon,1997,Clean
"Elegance Orientale Ltd.",Sweater,5,500,650,1500000,Sweaters,"Jangaliapara, Vawal, Gazipur, Gazipur",Gazipur,Gazipur,1993,Clean
"Elham Fashion Ltd.",Knit,5,394,160,700000,",Polo Shirts","466, Uttar Khailkoir, Bat tala, Bord Bazar, Gazipur, B. Baria",Gazipur,"B. Baria",2016,Clean
"Elham International Ltd.",Knit,1,4,210,1000000,"T-Shirt ,Polo Shirt","Plot # 69, Road # 3, Nayanichala, Taltola, Turag, Dhaka, Dhaka",Dhaka,Dhaka,2023,Clean
